"scope","ref_method_file","calling_method_file","input_params"
"Function returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/addtoDB.py","sent"
"Function returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/validate_search.py","sent"
"Function returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py","sent"
"Function returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py","sent"
"Function returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/searchDB.py","sent"
"Function insertNewSignature","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/db_utils.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/addtoDB.py","rec_"
"Function insertNewSignature","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/db_utils.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py","rec_"
"Function insertNewSignature","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/db_utils.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py","rec_"
"Function searchSignature","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/db_utils.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/searchDB.py","rec_"
"Function processNeighbours","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats_safe.py","fileNm|json_|json_raw"
"Function processNeighbours","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py","fileNm|json_|json_raw"
